	Heit(m)	air(kg/m3)
0	0.0	1.258
1	1000.0	1.1329999999999998
2	2000.0	1.016
3	3000.0	0.9091
4	4000.0	0.8135
5	5000.0	0.7291
6	6000.0	0.6547000000000001
7	7000.0	0.5867
8	8000.0	0.5226999999999999
9	9000.0	0.4617
10	10000.0	0.4034
11	11000.0	0.3484
12	12000.0	0.2985
13	13000.0	0.25470000000000004
14	14000.0	0.21689999999999998
15	15000.0	0.185
16	16000.0	0.1583
17	17000.0	0.1357
18	18000.0	0.1164
19	19000.0	0.09977
20	20000.0	0.08534000000000001
21	21000.0	0.07279999999999999
22	22000.0	0.061959999999999994
23	23000.0	0.05265
24	24000.0	0.04469
25	25000.0	0.03791
26	26000.0	0.03214
27	27000.0	0.027250000000000003
28	28000.0	0.02309
29	29000.0	0.01954
30	30000.0	0.01653
31	31000.0	0.01398
32	32000.0	0.011810000000000001
33	33000.0	0.009989999999999999
34	34000.0	0.00846
35	35000.0	0.0071779999999999995
36	36000.0	0.006105
37	37000.0	0.005205
38	38000.0	0.0044469999999999996
39	39000.0	0.003806
40	40000.0	0.003263
41	41000.0	0.002801
42	42000.0	0.002408
43	43000.0	0.002076
44	44000.0	0.001795
45	45000.0	0.001558
46	46000.0	0.0013570000000000001
47	47000.0	0.001186
48	48000.0	0.001039
49	49000.0	0.0009124000000000001
50	50000.0	0.0008018
51	51000.0	0.0007049000000000001
52	52000.0	0.0006198
53	53000.0	0.0005449
54	54000.0	0.000479
55	55000.0	0.00042100000000000004
56	56000.0	0.0003699
57	57000.0	0.0003249
58	58000.0	0.0002852
59	59000.0	0.0002503
60	60000.0	0.0002197
61	61000.0	0.0001927
62	62000.0	0.0001689
63	63000.0	0.000148
64	64000.0	0.0001296
65	65000.0	0.00011339999999999999
66	66000.0	9.918000000000001e-05
67	67000.0	8.664999999999999e-05
68	68000.0	7.564e-05
69	69000.0	6.595e-05
70	70000.0	5.743e-05
71	71000.0	4.995e-05
72	72000.0	4.338e-05
73	73000.0	3.76e-05
74	74000.0	3.251e-05
75	75000.0	2.803e-05
76	76000.0	2.41e-05
77	77000.0	2.067e-05
78	78000.0	1.767e-05
79	79000.0	1.506e-05
80	80000.0	1.2800000000000001e-05
81	81000.0	1.085e-05
82	82000.0	9.184e-06
83	83000.0	7.766e-06
84	84000.0	6.5730000000000004e-06
85	85000.0	5.575e-06
86	86000.0	4.7449999999999995e-06
87	87000.0	4.0540000000000005e-06
88	88000.0	3.477e-06
89	89000.0	2.9910000000000002e-06
90	90000.0	2.5789999999999998e-06
91	91000.0	2.228e-06
92	92000.0	1.927e-06
93	93000.0	1.6669999999999999e-06
94	94000.0	1.442e-06
95	95000.0	1.246e-06
96	96000.0	1.0749999999999999e-06
97	97000.0	9.236e-07
98	98000.0	7.905e-07
99	99000.0	6.733000000000001e-07
100	100000.0	5.706e-07
101	101000.0	4.811e-07
102	102000.0	4.036e-07
103	103000.0	3.37e-07
104	104000.0	2.8e-07
105	105000.0	2.3170000000000002e-07
106	106000.0	1.912e-07
107	107000.0	1.576e-07
108	108000.0	1.298e-07
109	109000.0	1.071e-07
110	110000.0	8.854e-08
111	111000.0	7.345e-08
112	112000.0	6.119e-08
113	113000.0	5.124e-08
114	114000.0	4.319e-08
115	115000.0	3.668e-08
116	116000.0	3.14e-08
117	117000.0	2.709e-08
118	118000.0	2.355e-08
119	119000.0	2.06e-08
120	120000.0	1.815e-08
121	121000.0	1.609e-08
122	122000.0	1.4340000000000001e-08
123	123000.0	1.285e-08
124	124000.0	1.157e-08
125	125000.0	1.047e-08
126	126000.0	9.51e-09
127	127000.0	8.669e-09
128	128000.0	7.929e-09
129	129000.0	7.2739999999999995e-09
130	130000.0	6.693e-09
131	131000.0	6.175e-09
132	132000.0	5.711e-09
133	133000.0	5.294e-09
134	134000.0	4.918e-09
135	135000.0	4.578e-09
136	136000.0	4.27e-09
137	137000.0	3.99e-09
138	138000.0	3.734e-09
139	139000.0	3.5010000000000002e-09
140	140000.0	3.287e-09
141	141000.0	3.09e-09
142	142000.0	2.91e-09
143	143000.0	2.7429999999999997e-09
144	144000.0	2.589e-09
145	145000.0	2.447e-09
146	146000.0	2.314e-09
147	147000.0	2.192e-09
148	148000.0	2.0779999999999996e-09
149	149000.0	1.971e-09
150	150000.0	1.872e-09
151	151000.0	1.78e-09
152	152000.0	1.693e-09
153	153000.0	1.612e-09
154	154000.0	1.5359999999999999e-09
155	155000.0	1.4640000000000001e-09
156	156000.0	1.397e-09
157	157000.0	1.334e-09
158	158000.0	1.2749999999999998e-09
159	159000.0	1.2180000000000001e-09
160	160000.0	1.1660000000000001e-09
161	161000.0	1.116e-09
162	162000.0	1.068e-09
163	163000.0	1.024e-09
164	164000.0	9.813000000000001e-10
165	165000.0	9.412e-10
166	166000.0	9.032e-10
167	167000.0	8.671e-10
168	168000.0	8.328000000000001e-10
169	169000.0	8.002e-10
170	170000.0	7.692e-10
171	171000.0	7.398000000000001e-10
172	172000.0	7.117e-10
173	173000.0	6.849000000000001e-10
174	174000.0	6.594e-10
175	175000.0	6.351e-10
176	176000.0	6.119e-10
177	177000.0	5.897e-10
178	178000.0	5.686e-10
179	179000.0	5.483e-10
180	180000.0	5.289999999999999e-10
181	181000.0	5.104e-10
182	182000.0	4.927e-10
183	183000.0	4.757e-10
184	184000.0	4.5940000000000004e-10
185	185000.0	4.438e-10
186	186000.0	4.2890000000000004e-10
187	187000.0	4.145e-10
188	188000.0	4.008e-10
189	189000.0	3.875e-10
190	190000.0	3.748e-10
191	191000.0	3.6259999999999997e-10
192	192000.0	3.509e-10
193	193000.0	3.3970000000000003e-10
194	194000.0	3.2880000000000004e-10
195	195000.0	3.184e-10
196	196000.0	3.084e-10
197	197000.0	2.9869999999999996e-10
198	198000.0	2.894e-10
199	199000.0	2.804e-10
200	200000.0	2.7180000000000003e-10
201	201000.0	2.6349999999999997e-10
202	202000.0	2.555e-10
203	203000.0	2.478e-10
204	204000.0	2.403e-10
